scenario_id,schema_sheet_name,finding,category,prior,raw_ovr_lr,fitted_ovr_lr,mult_change,abs_log_change,coherence_gap_abs,rmse_logLR
chest_pain_carter_18,s01_r00_19cat,Patient does not have: tearing chest pain,"Gastritis, Esophagitis",0.2,0.5,3.8088415110277527,7.617683022055505,2.030472258114268,0.6654469581896623,0.45515916811529283
erectile_dysfunction_torres_tier1,s01_r00_7cat,Patient has: normal vibration sensation at ankles,Diabetes,0.20100502512562815,0.7,4.679236901258517,6.684624144655025,1.8998099852866877,0.6237803679615432,0.6812650793177716
erectile_dysfunction_torres_tier1,s01_r00_7cat,Patient has: 1 year of polyuria and polydipsia,Medication/substance,0.25125628140703515,10.0,1.553301995780559,6.437898121012097,1.8622021081183049,1.2412487827621597,0.8340538699031776
metrorrhagia_sperle_tier3,s01_r00_9cat,Patient does not have: urinary changes,"Benign Uterine Mass (fibroid, adenoma, endometrial hyperplasia, adenomyosis)",0.63,0.2,1.281676936888941,6.408384684444704,1.8576072398688197,0.6309188120716983,0.6039660965389465
chest_pain_carter_18,s01_r00_19cat,Patient does not have: episodic chest pain,"Gastritis, Esophagitis",0.2,0.5,3.145183322327283,6.290366644654566,1.839019359101714,0.6337739050224561,0.4259212553374971
chest_pain_carter_18,s01_r00_19cat,Patient does not have: Pain reproducible with swallowing,Costochondritis,0.28,0.5,3.1137506501289467,6.227501300257893,1.828975176947094,0.5803634883616904,0.3801838718628347
erectile_dysfunction_torres_tier1,s01_r00_7cat,Patient does not have: relief of paresthesias with compression socks,Diabetes,0.20100502512562815,0.5,3.101649355729873,6.203298711459746,1.8250812007979462,0.6586623869984805,0.7278757086881283
erectile_dysfunction_torres_tier1,s01_r00_7cat,Patient has: 1 year of polyuria and polydipsia,Diabetes,0.20100502512562815,10.0,1.7378205147436585,5.754334187656355,1.7499533426323208,1.2412487827621597,0.8340538699031776
erectile_dysfunction_torres_tier1,s01_r00_7cat,Patient has: relief of cluadication with rest,Psychological,0.20100502512562815,1.2,6.85474603380111,5.712288361500925,1.7426197072190808,0.5706755643427447,0.6034598888804622
chest_pain_carter_18,s01_r00_19cat,Patient does not have: tearing chest pain,Costochondritis,0.28,0.2,1.1020356394857704,5.510178197428852,1.706596963373062,0.6654469581896623,0.45515916811529283
chest_pain_carter_18,s01_r00_19cat,Patient does not have: epigastric pain,"Gastritis, Esophagitis",0.2,0.5,2.725025356089285,5.45005071217857,1.6956249136187553,0.5720756086342954,0.38835179864195835
metrorrhagia_sperle_tier3,s01_r00_9cat,Patient does not have: soaking pads,"Benign Uterine Mass (fibroid, adenoma, endometrial hyperplasia, adenomyosis)",0.63,0.6,3.257616960078008,5.429361600130013,1.691821557997233,0.40285732448413203,0.4843715760841602
